Name,Image,Source,Ingredients,
CREAMY FISH PIE BITES | with fondue | John Quilter,http://img.youtube.com/vi/764xofTyotw/hqdefault.jpg,https://www.youtube.com/watch?v=764xofTyotw&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"ale, bay leaves, bread, cheese, cheese sauce, corn, crab, cream, dill, double cream, fish, flour, fresh dill, garlic, garlic powder, haddock, honey, langoustines, lobster, milk, nutmeg, onions, parsley, pepper, peppercorns, potatoes, prawns, rum, salmon, seaweed, shrimp, vinegar, wine vinegar",
TURKEY DIPPERS | RECIPE | COLLAB ERIC LANLARD | John Quilter,http://img.youtube.com/vi/wNiJKlvOrFI/hqdefault.jpg,https://www.youtube.com/watch?v=wNiJKlvOrFI&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"baking powder, beer, chili, curry, fish, flour, garlic, granulated sugar, paprika, rice, sea salt, smoked paprika, turkey, vinegar, white wine, white wine vinegar, wine vinegar",
Breakfast Burrito | John Quilter,http://img.youtube.com/vi/53NXw5qdKYc/hqdefault.jpg,https://www.youtube.com/watch?v=53NXw5qdKYc&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"ale, bacon, bread, butter, eggs, flatbread, ham, mushrooms, pepper, potatoes, rice, steak",
Turkey Pakora | John Quilter,http://img.youtube.com/vi/nZGZSTKpl98/hqdefault.jpg,https://www.youtube.com/watch?v=nZGZSTKpl98&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"butter, chiles, chili, chili powder, coco, coconut, coriander, cumin, flour, gin, ginger, ground coriander, ground cumin, lemon, lemon zest, masala, methi, sunflower oil, turkey, turkey meat",
Beef Nachos | Brisket | John Quilter,http://img.youtube.com/vi/DzntLSeNzt8/hqdefault.jpg,https://www.youtube.com/watch?v=DzntLSeNzt8&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"bacon, beef, beef brisket, beef stock, brisket, celery, cheese, chili, cinnamon, coffee, corn, corn tortillas, cream, cumin, garlic, masala, molasses, olive oil, onions, paprika, rice, rum, salsa, smoked bacon, sour cream, tortillas",
Duck Burger | John Quilter,http://img.youtube.com/vi/x8tO_GvIo4k/hqdefault.jpg,https://www.youtube.com/watch?v=x8tO_GvIo4k&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"burger buns, cake, coriander, dark soy, duck, egg yolks, eggs, garlic, gin, ginger, ground ginger, ham, hamburger, honey, lemon, mustard, mustard seeds, pectin, rapeseed oil, rice, rice wine, sesame, sesame oil, sesame seeds, shallots, toasted sesame oil, toasted sesame seeds, vegetable oil, vinegar, wine vinegar",
Perfect BUTTERNUT SQUASH Salad #meatfreeweek | John Quilter,http://img.youtube.com/vi/mTVDCm7LFds/hqdefault.jpg,https://www.youtube.com/watch?v=mTVDCm7LFds&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"butter, butternut squash, cheese, chili, flat leaf parsley, garlic, herbs, lemon, lemon thyme, lentils, onions, parsley, pepper, spring onions, squash, thyme, white onion",
Homemade Beans on Toast Recipe with Bacon | John Quilter,http://img.youtube.com/vi/Vd91Z8su5to/hqdefault.jpg,https://www.youtube.com/watch?v=Vd91Z8su5to&list=PL6tScHkhWPyntJSK8g8NCy7Rluw4XD0kz&t=0s,"English mustard, bacon, baked beans, brown sugar, cheese, chili, chipotle, coffee, coffee beans, garlic, gin, herbs, molasses, mustard, mustard powder, olive oil, shallots",
Asian Americans Make Asian Dishes For The First Time • Tasty,http://img.youtube.com/vi/ZHVC-QMp6bU/hqdefault.jpg,https://www.youtube.com/watch?v=ZHVC-QMp6bU&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"beef, beef shank, boiled eggs, chicken, eggs, gin, ginger, methi, noodles, rice, salami, scallions, soup",
I Made A Romantic Dinner In 15 Minutes • Tasty,http://img.youtube.com/vi/esc3xBBn9ic/hqdefault.jpg,https://www.youtube.com/watch?v=esc3xBBn9ic&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"baking powder, balsamic vinegar, basil, butter, cake, cheese, chicken, chives, chocolate, coco, cocoa, cocoa powder, cola, cream, cream cheese, crust, dry white wine, flour, fresh mint, fresh mozzarella, garlic, gin, granulated sugar, herbs, ice cream, lobster, methi, milk, mint, olive oil, orzo, pasta, pepper, rice, scallops, spinach, truffles, veggies, vinegar, virgin olive oil, white wine",
